Filename;ActivityName;Location;ReferenceProduct
0002f621-397b-4d5a-bc14-c87d0a6ce428_66c93e71-f32b-4591-901c-55395db5c132.spold;heat and power co-generation, biogas, gas engine;CH;electricity, high voltage
0002f621-397b-4d5a-bc14-c87d0a6ce428_dd80f0f2-f4d5-40f0-9035-09c1a7f3f07b.spold;heat and power co-generation, biogas, gas engine;CH;heat, central or small-scale, other than natural gas
0013bc7b-f4eb-47e7-ad35-0b7b3cfe894e_69b3d58f-ddde-59c4-a78d-2ededd641aab.spold;market for land tenure, arable land, measured as carbon net primary productivity, forest, intensive;BR-GO;land tenure, arable land, measured as carbon net primary productivity, forest, intensive
0015de50-f2d2-45a8-92d9-3342cfae5054_031dd5ec-b11e-4092-9f92-5329f1cc580f.spold;fluorescent whitening agent production, distyrylbiphenyl type;RoW;fluorescent whitening agent, distyrylbiphenyl type
00199fd5-c6e0-4852-b506-388f17567a1d_d69294d7-8d64-4915-a896-9996a014c410.spold;electricity voltage transformation from medium to low voltage;TH;electricity, low voltage
001fd06e-059f-4c52-be9c-29d49edfea2e_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, natural gas, combined cycle power plant;CZ;electricity, high voltage
0026c769-cbcc-41e0-9247-a09ca6e833de_a8f9b840-05ff-4dad-b11e-dd4b1342655d.spold;silicone product production;RoW;silicone product
00270c7d-b832-4873-90bb-3d551c6617d2_7deb8cd6-8e29-4f14-aae0-b1dd046ad038.spold;concrete production, 40MPa, ready-mix, with cement, limestone 21-35%;PE;concrete, 40MPa
002d2c3e-f8e5-424a-90ad-72418cd2dcb7_e303fb73-b0e1-41ae-bddc-5e0e444eb3fb.spold;treatment of used vegetable cooking oil, purification;CA-QC;used vegetable cooking oil, purified
003133c0-0420-403b-b3a5-be0d3f4ec3c1_6f7f29f3-58b8-4685-89a8-fa4eb9fd4bc5.spold;market for hard coal briquettes factory;GLO;hard coal briquettes factory
003c0bab-7ba6-4005-84e3-ecbdff50365e_ebe77e58-a384-4b80-b92f-607928024c13.spold;housing system construction, cattle, loose;CH;housing system, cattle, loose, per animal unit
003d6f06-08e1-40d0-82d8-bc2ad1e98c44_46c8ade1-910f-4abf-b255-7f2a348181d2.spold;building construction, luxury hotel;BR;building, luxury hotel
0043d704-16b7-44ea-98df-499eabda4098_f435211e-39e6-4f03-b7ee-b8ab915dbc52.spold;textile production, cotton, weaving;RoW;textile, woven cotton
0047c51a-c844-42cf-a7f7-b6e4f0d81ee9_70b31156-a8bb-40a2-99c5-6de216fb9f56.spold;catalytic converter production, three-way, 19.1l;RER;catalytic converter, three-way, 19.1l
